X0,X1,X2,X3,X4,X5,X6,X7,X8,X9
1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.65,1.8,3.33
0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.09,0.79,1.59
1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.39,0.36,2.06
0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.96,1.27,4.05
1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.16,2.16,6.0
0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.76,0.87,4.17
0.0,1.0,0.0,0.0,0.0,1.0,7.0,1.08,0.85,3.45
1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.26,0.47,0.9
0.0,1.0,0.0,1.0,0.0,0.0,9.0,2.53,1.08,3.65
1.0,0.0,0.0,1.0,0.0,0.0,10.0,2.76,3.1,5.06
1.0,0.0,0.0,1.0,0.0,0.0,11.0,1.07,0.64,1.95
0.0,1.0,0.0,1.0,0.0,0.0,12.0,1.42,1.08,1.22
1.0,0.0,0.0,1.0,0.0,0.0,13.0,0.24,0.44,0.94
0.0,1.0,0.0,1.0,0.0,0.0,14.0,0.7,0.67,0.94
1.0,0.0,0.0,0.0,1.0,0.0,15.0,0.97,1.66,2.21
0.0,1.0,0.0,0.0,1.0,0.0,16.0,1.06,1.13,1.46
1.0,0.0,0.0,0.0,1.0,0.0,45.0,0.13,0.27,0.35
0.0,1.0,0.0,0.0,1.0,0.0,46.0,0.1,0.3,0.34
0.0,1.0,0.0,0.0,1.0,0.0,47.0,0.38,0.58,0.67
1.0,0.0,0.0,0.0,1.0,0.0,48.0,0.45,0.43,0.44
1.0,0.0,1.0,0.0,0.0,0.0,49.0,0.42,0.47,0.53
0.0,1.0,1.0,0.0,0.0,0.0,50.0,2.24,4.02,2.52
0.0,1.0,1.0,0.0,0.0,0.0,51.0,0.52,1.32,2.18
1.0,0.0,1.0,0.0,0.0,0.0,52.0,0.94,1.59,1.73
0.0,1.0,1.0,0.0,0.0,0.0,53.0,1.19,0.85,2.31
1.0,0.0,1.0,0.0,0.0,0.0,54.0,0.76,0.71,1.28
1.0,0.0,0.0,0.0,0.0,1.0,55.0,0.13,0.59,0.91
0.0,1.0,0.0,0.0,0.0,1.0,56.0,1.5,0.24,1.15
0.0,1.0,0.0,0.0,0.0,1.0,57.0,1.03,0.22,1.88
1.0,0.0,0.0,0.0,0.0,1.0,58.0,1.87,0.58,2.97
0.0,1.0,0.0,0.0,0.0,1.0,59.0,1.85,1.36,2.17
1.0,0.0,0.0,0.0,0.0,1.0,60.0,2.04,0.71,2.22
0.0,1.0,0.0,0.0,0.0,1.0,61.0,1.44,1.0,1.64
1.0,0.0,0.0,0.0,0.0,1.0,62.0,1.46,1.48,0.4
1.0,0.0,0.0,1.0,0.0,0.0,63.0,5.08,1.77,4.2
0.0,1.0,0.0,1.0,0.0,0.0,64.0,0.66,0.73,0.91
1.0,0.0,0.0,1.0,0.0,0.0,65.0,0.49,0.55,0.51
0.0,1.0,0.0,1.0,0.0,0.0,66.0,3.27,2.68,3.6
0.0,1.0,0.0,1.0,0.0,0.0,67.0,1.33,0.43,2.18
1.0,0.0,0.0,1.0,0.0,0.0,68.0,0.25,0.46,0.89
1.0,0.0,0.0,0.0,1.0,0.0,69.0,0.69,0.49,0.69
0.0,1.0,0.0,0.0,1.0,0.0,70.0,2.12,0.95,1.82
0.0,1.0,0.0,1.0,0.0,0.0,95.0,1.45,1.47,2.2
1.0,0.0,0.0,1.0,0.0,0.0,96.0,2.13,1.13,2.33
1.0,0.0,0.0,1.0,0.0,0.0,97.0,0.02,0.08,0.24
0.0,1.0,0.0,1.0,0.0,0.0,98.0,0.36,0.87,0.57
0.0,1.0,0.0,1.0,0.0,0.0,99.0,0.72,0.99,0.98
1.0,0.0,0.0,1.0,0.0,0.0,100.0,1.02,1.89,2.47
0.0,1.0,0.0,0.0,1.0,0.0,101.0,0.18,1.42,0.71
1.0,0.0,0.0,0.0,1.0,0.0,102.0,1.83,1.82,3.11
0.0,1.0,0.0,0.0,1.0,0.0,103.0,0.08,0.4,0.57
1.0,0.0,0.0,0.0,1.0,0.0,104.0,0.0,0.04,0.04
1.0,0.0,0.0,0.0,1.0,0.0,105.0,0.83,0.38,0.7
0.0,1.0,0.0,0.0,1.0,0.0,106.0,0.01,0.44,0.66
1.0,0.0,0.0,0.0,1.0,0.0,107.0,2.65,0.85,1.48
0.0,1.0,0.0,0.0,1.0,0.0,108.0,1.27,1.39,1.2
1.0,0.0,1.0,0.0,0.0,0.0,109.0,0.01,0.23,0.1
0.0,1.0,1.0,0.0,0.0,0.0,110.0,0.35,0.75,0.2
1.0,0.0,1.0,0.0,0.0,0.0,111.0,1.8,1.62,3.02
0.0,1.0,1.0,0.0,0.0,0.0,112.0,4.44,1.05,3.59
1.0,0.0,1.0,0.0,0.0,0.0,113.0,2.84,2.44,4.48
0.0,1.0,1.0,0.0,0.0,0.0,114.0,2.05,1.3,4.04
1.0,0.0,1.0,0.0,0.0,0.0,115.0,3.01,1.66,4.56
0.0,1.0,1.0,0.0,0.0,0.0,116.0,2.58,1.21,3.95
0.0,1.0,0.0,0.0,0.0,1.0,117.0,2.22,0.61,2.68
1.0,0.0,0.0,0.0,0.0,1.0,118.0,0.07,2.26,2.08
1.0,0.0,0.0,0.0,0.0,1.0,119.0,1.62,1.16,2.87
0.0,1.0,0.0,0.0,0.0,1.0,120.0,4.34,3.29,6.4
0.0,1.0,0.0,0.0,0.0,1.0,121.0,1.03,0.58,1.77
1.0,0.0,0.0,0.0,0.0,1.0,122.0,1.5,0.41,2.56
1.0,0.0,0.0,1.0,0.0,0.0,123.0,1.52,1.62,2.86
0.0,1.0,0.0,1.0,0.0,0.0,124.0,0.37,1.25,1.74
0.0,1.0,0.0,1.0,0.0,0.0,125.0,2.14,1.0,4.39
1.0,0.0,0.0,1.0,0.0,0.0,126.0,2.36,1.53,3.03
0.0,1.0,0.0,1.0,0.0,0.0,127.0,1.71,2.03,3.24
1.0,0.0,0.0,1.0,0.0,0.0,128.0,2.12,2.77,4.44
0.0,1.0,0.0,0.0,1.0,0.0,129.0,1.38,2.11,3.01
1.0,0.0,0.0,0.0,1.0,0.0,130.0,0.21,1.41,0.8
0.0,1.0,0.0,0.0,1.0,0.0,131.0,0.48,0.59,0.68
1.0,0.0,0.0,0.0,1.0,0.0,132.0,0.01,0.65,0.48
1.0,0.0,0.0,0.0,1.0,0.0,133.0,0.15,0.13,0.42
0.0,1.0,0.0,0.0,1.0,0.0,134.0,1.32,0.57,1.54
1.0,0.0,0.0,0.0,1.0,0.0,135.0,2.26,1.04,1.27
0.0,1.0,0.0,0.0,1.0,0.0,136.0,5.95,3.97,5.37
0.0,1.0,1.0,0.0,0.0,0.0,171.0,0.19,0.28,0.7
1.0,0.0,1.0,0.0,0.0,0.0,172.0,0.31,0.23,0.83
1.0,0.0,1.0,0.0,0.0,0.0,173.0,1.44,3.14,0.86
0.0,1.0,1.0,0.0,0.0,0.0,174.0,0.3,0.72,1.38
1.0,0.0,1.0,0.0,0.0,0.0,175.0,0.11,0.14,0.58
0.0,1.0,1.0,0.0,0.0,0.0,176.0,3.66,1.84,5.36
0.0,1.0,1.0,0.0,0.0,0.0,177.0,1.14,0.81,2.09
1.0,0.0,1.0,0.0,0.0,0.0,178.0,1.3,0.34,2.45
1.0,0.0,0.0,0.0,0.0,1.0,179.0,0.05,0.38,0.9
0.0,1.0,0.0,0.0,0.0,1.0,180.0,1.84,1.73,2.33
1.0,0.0,0.0,0.0,0.0,1.0,181.0,4.24,1.67,5.48
0.0,1.0,0.0,0.0,0.0,1.0,182.0,1.99,1.9,3.67
0.0,1.0,0.0,0.0,0.0,1.0,183.0,2.44,1.52,4.01
1.0,0.0,0.0,0.0,0.0,1.0,184.0,2.21,2.36,3.25
1.0,0.0,0.0,0.0,0.0,1.0,185.0,0.8,2.25,2.79
0.0,1.0,0.0,0.0,0.0,1.0,186.0,9.42,3.6,7.84
1.0,0.0,0.0,1.0,0.0,0.0,187.0,2.74,3.03,6.39
0.0,1.0,0.0,1.0,0.0,0.0,188.0,0.0,0.19,0.06
1.0,0.0,0.0,1.0,0.0,0.0,189.0,0.96,0.64,1.24
0.0,1.0,0.0,1.0,0.0,0.0,190.0,1.38,1.86,2.91
1.0,0.0,0.0,1.0,0.0,0.0,191.0,1.22,2.28,1.58
0.0,1.0,0.0,1.0,0.0,0.0,192.0,2.46,2.47,2.39
1.0,0.0,0.0,1.0,0.0,0.0,193.0,0.05,0.02,0.09
0.0,1.0,0.0,1.0,0.0,0.0,194.0,0.61,0.87,1.35