X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.367,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.367,0.58,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.9,0.367,0.1,0.1,0.1,0.5,0.0,0.367,0.9
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.1,0.74,0.7,0.1,0.5,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.42,0.4,0.1,0.5,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.3,0.9,0.9,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.633,0.633,0.9,0.9,0.1,0.0,0.367,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.9,0.42,0.1,0.1,0.1,0.1,0.9,0.1,0.58,0.42,0.42,0.1,0.5,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.367,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.367,0.1,0.9,0.9,0.9,0.0,0.367,0.633
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.58,0.26,0.1,0.1,0.1,0.5,0.1,0.5,0.58,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.9,0.7,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.367,0.58,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.367,0.367,0.1,0.1,0.1,0.1,0.0,0.367,0.1
0.9,0.26,0.1,0.1,0.5,0.1,0.1,0.1,0.9,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.9,0.7,0.1,0.5,0.5,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.58,0.5,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.42,0.1,0.1,0.5,0.9,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.9,0.9,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.26,0.1,0.1,0.1,0.5,0.1,0.9,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.633,0.367,0.1,0.1,0.1,0.5,0.0,0.9,0.367
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.74,0.3,0.1,0.5,0.5,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.633,0.42,0.42,0.26,0.1,0.9,0.1,0.9,0.1,0.1,0.26,0.9,0.367,0.1,0.1,0.1,0.5,0.0,0.633,0.633
0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.367,0.1,0.1,0.1,0.1,0.0,0.367,0.1
0.3,0.9,0.8,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.74,0.42,0.1,0.1,0.1,0.1,0.9,0.1,0.58,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.26,0.1,0.1,0.1,0.5,0.1,0.9,0.26,0.58,0.26,0.1,0.9,0.9,0.9,0.1,0.5,0.42,0.633,0.367,0.1,0.1,0.1,0.5,0.0,0.9,0.367
0.3,0.58,0.5,0.1,0.9,0.5,0.1,0.367,0.26,0.42,0.58,0.5,0.1,0.9,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.367,0.42,0.58,0.26,0.1,0.9,0.9,0.9,0.1,0.5,0.42,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.58,0.5,0.1,0.9,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.74,0.3,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.58,0.26,0.1,0.9,0.9,0.9,0.1,0.5,0.42,0.367,0.367,0.1,0.1,0.1,0.1,0.0,0.367,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.58,0.26,0.1,0.1,0.1,0.5,0.1,0.9,0.42,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.7,0.58,0.2,0.1,0.1,0.1,0.5,0.633,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.9,0.8,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.1,0.1,0.1,0.5,0.1,0.58,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.58,0.5,0.1,0.9,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.9,0.9,0.1,0.5,0.5,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.9,0.7,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.42,0.1,0.1,0.1,0.1,0.9,0.1,0.58,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.26,0.1,0.1,0.5,0.1,0.1,0.1,0.9,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.42,0.1,0.5,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.633,0.42,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.58,0.5,0.1,0.9,0.5,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.58,0.2,0.5,0.9,0.5,0.1,0.1,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.58,0.5,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.1,0.1,0.5,0.1,0.367,0.58,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.1,0.1,0.1,0.5,0.1,0.58,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.3,0.9,0.9,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.26,0.1,0.1,0.1,0.5,0.1,0.9,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.58,0.26,0.1,0.9,0.9,0.9,0.1,0.5,0.42,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.74,0.58,0.2,0.1,0.1,0.1,0.5,0.9,0.42,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.5,0.26,0.1,0.9,0.9,0.9,0.1,0.367,0.42,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.42,0.74,0.3,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.367,0.1,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.367,0.367,0.1,0.1,0.1,0.1,0.0,0.367,0.1
0.3,0.58,0.4,0.1,0.9,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.633,0.9,0.9,0.1,0.9,0.5,0.0,0.367,0.367
0.3,0.9,0.9,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.9,0.9,0.1,0.5,0.5,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.74,0.4,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.74,0.3,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.58,0.26,0.1,0.9,0.9,0.9,0.1,0.5,0.42,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.74,0.3,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.26,0.42,0.1,0.1,0.5,0.9,0.1,0.5,0.26,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.42,0.58,0.5,0.1,0.9,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.7,0.58,0.2,0.1,0.1,0.1,0.5,0.633,0.42,0.42,0.42,0.1,0.1,0.5,0.5,0.1,0.5,0.26,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.1,0.42,0.3,0.1,0.1,0.1,0.1,0.367,0.1,0.26,0.42,0.3,0.1,0.1,0.1,0.1,0.5,0.1,0.367,0.633,0.633,0.1,0.1,0.1,0.0,0.367,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.74,0.58,0.2,0.1,0.1,0.1,0.5,0.9,0.42,0.367,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1
0.3,0.42,0.1,0.1,0.5,0.5,0.1,0.367,0.26,0.58,0.26,0.1,0.1,0.1,0.5,0.1,0.9,0.42,0.633,0.633,0.1,0.1,0.5,0.5,0.0,0.367,0.367