dataset,num_layer,layer_size,test_fold
baskball,1,1,1
baskball,1,1,2
baskball,1,1,3
baskball,1,1,4
baskball,1,1,5
baskball,1,2,1
baskball,1,2,2
baskball,1,2,3
baskball,1,2,4
baskball,1,2,5
baskball,1,4,1
baskball,1,4,2
baskball,1,4,3
baskball,1,4,4
baskball,1,4,5
baskball,1,8,1
baskball,1,8,2
baskball,1,8,3
baskball,1,8,4
baskball,1,8,5
baskball,1,16,1
baskball,1,16,2
baskball,1,16,3
baskball,1,16,4
baskball,1,16,5
baskball,1,32,1
baskball,1,32,2
baskball,1,32,3
baskball,1,32,4
baskball,1,32,5
baskball,1,64,1
baskball,1,64,2
baskball,1,64,3
baskball,1,64,4
baskball,1,64,5
baskball,2,1,1
baskball,2,1,2
baskball,2,1,3
baskball,2,1,4
baskball,2,1,5
baskball,2,2,1
baskball,2,2,2
baskball,2,2,3
baskball,2,2,4
baskball,2,2,5
baskball,2,4,1
baskball,2,4,2
baskball,2,4,3
baskball,2,4,4
baskball,2,4,5
baskball,2,8,1
baskball,2,8,2
baskball,2,8,3
baskball,2,8,4
baskball,2,8,5
baskball,2,16,1
baskball,2,16,2
baskball,2,16,3
baskball,2,16,4
baskball,2,16,5
baskball,2,32,1
baskball,2,32,2
baskball,2,32,3
baskball,2,32,4
baskball,2,32,5
baskball,2,64,1
baskball,2,64,2
baskball,2,64,3
baskball,2,64,4
baskball,2,64,5
sensory,1,1,1
sensory,1,1,2
sensory,1,1,3
sensory,1,1,4
sensory,1,1,5
sensory,1,2,1
sensory,1,2,2
sensory,1,2,3
sensory,1,2,4
sensory,1,2,5
sensory,1,4,1
sensory,1,4,2
sensory,1,4,3
sensory,1,4,4
sensory,1,4,5
sensory,1,8,1
sensory,1,8,2
sensory,1,8,3
sensory,1,8,4
sensory,1,8,5
sensory,1,16,1
sensory,1,16,2
sensory,1,16,3
sensory,1,16,4
sensory,1,16,5
sensory,1,32,1
sensory,1,32,2
sensory,1,32,3
sensory,1,32,4
sensory,1,32,5
sensory,1,64,1
sensory,1,64,2
sensory,1,64,3
sensory,1,64,4
sensory,1,64,5
sensory,2,1,1
sensory,2,1,2
sensory,2,1,3
sensory,2,1,4
sensory,2,1,5
sensory,2,2,1
sensory,2,2,2
sensory,2,2,3
sensory,2,2,4
sensory,2,2,5
sensory,2,4,1
sensory,2,4,2
sensory,2,4,3
sensory,2,4,4
sensory,2,4,5
sensory,2,8,1
sensory,2,8,2
sensory,2,8,3
sensory,2,8,4
sensory,2,8,5
sensory,2,16,1
sensory,2,16,2
sensory,2,16,3
sensory,2,16,4
sensory,2,16,5
sensory,2,32,1
sensory,2,32,2
sensory,2,32,3
sensory,2,32,4
sensory,2,32,5
sensory,2,64,1
sensory,2,64,2
sensory,2,64,3
sensory,2,64,4
sensory,2,64,5
echomonths,1,1,1
echomonths,1,1,2
echomonths,1,1,3
echomonths,1,1,4
echomonths,1,1,5
echomonths,1,2,1
echomonths,1,2,2
echomonths,1,2,3
echomonths,1,2,4
echomonths,1,2,5
echomonths,1,4,1
echomonths,1,4,2
echomonths,1,4,3
echomonths,1,4,4
echomonths,1,4,5
echomonths,1,8,1
echomonths,1,8,2
echomonths,1,8,3
echomonths,1,8,4
echomonths,1,8,5
echomonths,1,16,1
echomonths,1,16,2
echomonths,1,16,3
echomonths,1,16,4
echomonths,1,16,5
echomonths,1,32,1
echomonths,1,32,2
echomonths,1,32,3
echomonths,1,32,4
echomonths,1,32,5
echomonths,1,64,1
echomonths,1,64,2
echomonths,1,64,3
echomonths,1,64,4
echomonths,1,64,5
echomonths,2,1,1
echomonths,2,1,2
echomonths,2,1,3
echomonths,2,1,4
echomonths,2,1,5
echomonths,2,2,1
echomonths,2,2,2
echomonths,2,2,3
echomonths,2,2,4
echomonths,2,2,5
echomonths,2,4,1
echomonths,2,4,2
echomonths,2,4,3
echomonths,2,4,4
echomonths,2,4,5
echomonths,2,8,1
echomonths,2,8,2
echomonths,2,8,3
echomonths,2,8,4
echomonths,2,8,5
echomonths,2,16,1
echomonths,2,16,2
echomonths,2,16,3
echomonths,2,16,4
echomonths,2,16,5
echomonths,2,32,1
echomonths,2,32,2
echomonths,2,32,3
echomonths,2,32,4
echomonths,2,32,5
echomonths,2,64,1
echomonths,2,64,2
echomonths,2,64,3
echomonths,2,64,4
echomonths,2,64,5
lowbwt,1,1,1
lowbwt,1,1,2
lowbwt,1,1,3
lowbwt,1,1,4
lowbwt,1,1,5
lowbwt,1,2,1
lowbwt,1,2,2
lowbwt,1,2,3
lowbwt,1,2,4
lowbwt,1,2,5
lowbwt,1,4,1
lowbwt,1,4,2
lowbwt,1,4,3
lowbwt,1,4,4
lowbwt,1,4,5
lowbwt,1,8,1
lowbwt,1,8,2
lowbwt,1,8,3
lowbwt,1,8,4
lowbwt,1,8,5
lowbwt,1,16,1
lowbwt,1,16,2
lowbwt,1,16,3
lowbwt,1,16,4
lowbwt,1,16,5
lowbwt,1,32,1
lowbwt,1,32,2
lowbwt,1,32,3
lowbwt,1,32,4
lowbwt,1,32,5
lowbwt,1,64,1
lowbwt,1,64,2
lowbwt,1,64,3
lowbwt,1,64,4
lowbwt,1,64,5
lowbwt,2,1,1
lowbwt,2,1,2
lowbwt,2,1,3
lowbwt,2,1,4
lowbwt,2,1,5
lowbwt,2,2,1
lowbwt,2,2,2
lowbwt,2,2,3
lowbwt,2,2,4
lowbwt,2,2,5
lowbwt,2,4,1
lowbwt,2,4,2
lowbwt,2,4,3
lowbwt,2,4,4
lowbwt,2,4,5
lowbwt,2,8,1
lowbwt,2,8,2
lowbwt,2,8,3
lowbwt,2,8,4
lowbwt,2,8,5
lowbwt,2,16,1
lowbwt,2,16,2
lowbwt,2,16,3
lowbwt,2,16,4
lowbwt,2,16,5
lowbwt,2,32,1
lowbwt,2,32,2
lowbwt,2,32,3
lowbwt,2,32,4
lowbwt,2,32,5
lowbwt,2,64,1
lowbwt,2,64,2
lowbwt,2,64,3
lowbwt,2,64,4
lowbwt,2,64,5
autompg,1,1,1
autompg,1,1,2
autompg,1,1,3
autompg,1,1,4
autompg,1,1,5
autompg,1,2,1
autompg,1,2,2
autompg,1,2,3
autompg,1,2,4
autompg,1,2,5
autompg,1,4,1
autompg,1,4,2
autompg,1,4,3
autompg,1,4,4
autompg,1,4,5
autompg,1,8,1
autompg,1,8,2
autompg,1,8,3
autompg,1,8,4
autompg,1,8,5
autompg,1,16,1
autompg,1,16,2
autompg,1,16,3
autompg,1,16,4
autompg,1,16,5
autompg,1,32,1
autompg,1,32,2
autompg,1,32,3
autompg,1,32,4
autompg,1,32,5
autompg,1,64,1
autompg,1,64,2
autompg,1,64,3
autompg,1,64,4
autompg,1,64,5
autompg,2,1,1
autompg,2,1,2
autompg,2,1,3
autompg,2,1,4
autompg,2,1,5
autompg,2,2,1
autompg,2,2,2
autompg,2,2,3
autompg,2,2,4
autompg,2,2,5
autompg,2,4,1
autompg,2,4,2
autompg,2,4,3
autompg,2,4,4
autompg,2,4,5
autompg,2,8,1
autompg,2,8,2
autompg,2,8,3
autompg,2,8,4
autompg,2,8,5
autompg,2,16,1
autompg,2,16,2
autompg,2,16,3
autompg,2,16,4
autompg,2,16,5
autompg,2,32,1
autompg,2,32,2
autompg,2,32,3
autompg,2,32,4
autompg,2,32,5
autompg,2,64,1
autompg,2,64,2
autompg,2,64,3
autompg,2,64,4
autompg,2,64,5
auto93,1,1,1
auto93,1,1,2
auto93,1,1,3
auto93,1,1,4
auto93,1,1,5
auto93,1,2,1
auto93,1,2,2
auto93,1,2,3
auto93,1,2,4
auto93,1,2,5
auto93,1,4,1
auto93,1,4,2
auto93,1,4,3
auto93,1,4,4
auto93,1,4,5
auto93,1,8,1
auto93,1,8,2
auto93,1,8,3
auto93,1,8,4
auto93,1,8,5
auto93,1,16,1
auto93,1,16,2
auto93,1,16,3
auto93,1,16,4
auto93,1,16,5
auto93,1,32,1
auto93,1,32,2
auto93,1,32,3
auto93,1,32,4
auto93,1,32,5
auto93,1,64,1
auto93,1,64,2
auto93,1,64,3
auto93,1,64,4
auto93,1,64,5
auto93,2,1,1
auto93,2,1,2
auto93,2,1,3
auto93,2,1,4
auto93,2,1,5
auto93,2,2,1
auto93,2,2,2
auto93,2,2,3
auto93,2,2,4
auto93,2,2,5
auto93,2,4,1
auto93,2,4,2
auto93,2,4,3
auto93,2,4,4
auto93,2,4,5
auto93,2,8,1
auto93,2,8,2
auto93,2,8,3
auto93,2,8,4
auto93,2,8,5
auto93,2,16,1
auto93,2,16,2
auto93,2,16,3
auto93,2,16,4
auto93,2,16,5
auto93,2,32,1
auto93,2,32,2
auto93,2,32,3
auto93,2,32,4
auto93,2,32,5
auto93,2,64,1
auto93,2,64,2
auto93,2,64,3
auto93,2,64,4
auto93,2,64,5
bodyfat,1,1,1
bodyfat,1,1,2
bodyfat,1,1,3
bodyfat,1,1,4
bodyfat,1,1,5
bodyfat,1,2,1
bodyfat,1,2,2
bodyfat,1,2,3
bodyfat,1,2,4
bodyfat,1,2,5
bodyfat,1,4,1
bodyfat,1,4,2
bodyfat,1,4,3
bodyfat,1,4,4
bodyfat,1,4,5
bodyfat,1,8,1
bodyfat,1,8,2
bodyfat,1,8,3
bodyfat,1,8,4
bodyfat,1,8,5
bodyfat,1,16,1
bodyfat,1,16,2
bodyfat,1,16,3
bodyfat,1,16,4
bodyfat,1,16,5
bodyfat,1,32,1
bodyfat,1,32,2
bodyfat,1,32,3
bodyfat,1,32,4
bodyfat,1,32,5
bodyfat,1,64,1
bodyfat,1,64,2
bodyfat,1,64,3
bodyfat,1,64,4
bodyfat,1,64,5
bodyfat,2,1,1
bodyfat,2,1,2
bodyfat,2,1,3
bodyfat,2,1,4
bodyfat,2,1,5
bodyfat,2,2,1
bodyfat,2,2,2
bodyfat,2,2,3
bodyfat,2,2,4
bodyfat,2,2,5
bodyfat,2,4,1
bodyfat,2,4,2
bodyfat,2,4,3
bodyfat,2,4,4
bodyfat,2,4,5
bodyfat,2,8,1
bodyfat,2,8,2
bodyfat,2,8,3
bodyfat,2,8,4
bodyfat,2,8,5
bodyfat,2,16,1
bodyfat,2,16,2
bodyfat,2,16,3
bodyfat,2,16,4
bodyfat,2,16,5
bodyfat,2,32,1
bodyfat,2,32,2
bodyfat,2,32,3
bodyfat,2,32,4
bodyfat,2,32,5
bodyfat,2,64,1
bodyfat,2,64,2
bodyfat,2,64,3
bodyfat,2,64,4
bodyfat,2,64,5
simulated.abs,1,1,1
simulated.abs,1,1,2
simulated.abs,1,1,3
simulated.abs,1,1,4
simulated.abs,1,1,5
simulated.abs,1,2,1
simulated.abs,1,2,2
simulated.abs,1,2,3
simulated.abs,1,2,4
simulated.abs,1,2,5
simulated.abs,1,4,1
simulated.abs,1,4,2
simulated.abs,1,4,3
simulated.abs,1,4,4
simulated.abs,1,4,5
simulated.abs,1,8,1
simulated.abs,1,8,2
simulated.abs,1,8,3
simulated.abs,1,8,4
simulated.abs,1,8,5
simulated.abs,1,16,1
simulated.abs,1,16,2
simulated.abs,1,16,3
simulated.abs,1,16,4
simulated.abs,1,16,5
simulated.abs,1,32,1
simulated.abs,1,32,2
simulated.abs,1,32,3
simulated.abs,1,32,4
simulated.abs,1,32,5
simulated.abs,1,64,1
simulated.abs,1,64,2
simulated.abs,1,64,3
simulated.abs,1,64,4
simulated.abs,1,64,5
simulated.abs,2,1,1
simulated.abs,2,1,2
simulated.abs,2,1,3
simulated.abs,2,1,4
simulated.abs,2,1,5
simulated.abs,2,2,1
simulated.abs,2,2,2
simulated.abs,2,2,3
simulated.abs,2,2,4
simulated.abs,2,2,5
simulated.abs,2,4,1
simulated.abs,2,4,2
simulated.abs,2,4,3
simulated.abs,2,4,4
simulated.abs,2,4,5
simulated.abs,2,8,1
simulated.abs,2,8,2
simulated.abs,2,8,3
simulated.abs,2,8,4
simulated.abs,2,8,5
simulated.abs,2,16,1
simulated.abs,2,16,2
simulated.abs,2,16,3
simulated.abs,2,16,4
simulated.abs,2,16,5
simulated.abs,2,32,1
simulated.abs,2,32,2
simulated.abs,2,32,3
simulated.abs,2,32,4
simulated.abs,2,32,5
simulated.abs,2,64,1
simulated.abs,2,64,2
simulated.abs,2,64,3
simulated.abs,2,64,4
simulated.abs,2,64,5
elusage,1,1,1
elusage,1,1,2
elusage,1,1,3
elusage,1,1,4
elusage,1,1,5
elusage,1,2,1
elusage,1,2,2
elusage,1,2,3
elusage,1,2,4
elusage,1,2,5
elusage,1,4,1
elusage,1,4,2
elusage,1,4,3
elusage,1,4,4
elusage,1,4,5
elusage,1,8,1
elusage,1,8,2
elusage,1,8,3
elusage,1,8,4
elusage,1,8,5
elusage,1,16,1
elusage,1,16,2
elusage,1,16,3
elusage,1,16,4
elusage,1,16,5
elusage,1,32,1
elusage,1,32,2
elusage,1,32,3
elusage,1,32,4
elusage,1,32,5
elusage,1,64,1
elusage,1,64,2
elusage,1,64,3
elusage,1,64,4
elusage,1,64,5
elusage,2,1,1
elusage,2,1,2
elusage,2,1,3
elusage,2,1,4
elusage,2,1,5
elusage,2,2,1
elusage,2,2,2
elusage,2,2,3
elusage,2,2,4
elusage,2,2,5
elusage,2,4,1
elusage,2,4,2
elusage,2,4,3
elusage,2,4,4
elusage,2,4,5
elusage,2,8,1
elusage,2,8,2
elusage,2,8,3
elusage,2,8,4
elusage,2,8,5
elusage,2,16,1
elusage,2,16,2
elusage,2,16,3
elusage,2,16,4
elusage,2,16,5
elusage,2,32,1
elusage,2,32,2
elusage,2,32,3
elusage,2,32,4
elusage,2,32,5
elusage,2,64,1
elusage,2,64,2
elusage,2,64,3
elusage,2,64,4
elusage,2,64,5
stock,1,1,1
stock,1,1,2
stock,1,1,3
stock,1,1,4
stock,1,1,5
stock,1,2,1
stock,1,2,2
stock,1,2,3
stock,1,2,4
stock,1,2,5
stock,1,4,1
stock,1,4,2
stock,1,4,3
stock,1,4,4
stock,1,4,5
stock,1,8,1
stock,1,8,2
stock,1,8,3
stock,1,8,4
stock,1,8,5
stock,1,16,1
stock,1,16,2
stock,1,16,3
stock,1,16,4
stock,1,16,5
stock,1,32,1
stock,1,32,2
stock,1,32,3
stock,1,32,4
stock,1,32,5
stock,1,64,1
stock,1,64,2
stock,1,64,3
stock,1,64,4
stock,1,64,5
stock,2,1,1
stock,2,1,2
stock,2,1,3
stock,2,1,4
stock,2,1,5
stock,2,2,1
stock,2,2,2
stock,2,2,3
stock,2,2,4
stock,2,2,5
stock,2,4,1
stock,2,4,2
stock,2,4,3
stock,2,4,4
stock,2,4,5
stock,2,8,1
stock,2,8,2
stock,2,8,3
stock,2,8,4
stock,2,8,5
stock,2,16,1
stock,2,16,2
stock,2,16,3
stock,2,16,4
stock,2,16,5
stock,2,32,1
stock,2,32,2
stock,2,32,3
stock,2,32,4
stock,2,32,5
stock,2,64,1
stock,2,64,2
stock,2,64,3
stock,2,64,4
stock,2,64,5
cholesterol,1,1,1
cholesterol,1,1,2
cholesterol,1,1,3
cholesterol,1,1,4
cholesterol,1,1,5
cholesterol,1,2,1
cholesterol,1,2,2
cholesterol,1,2,3
cholesterol,1,2,4
cholesterol,1,2,5
cholesterol,1,4,1
cholesterol,1,4,2
cholesterol,1,4,3
cholesterol,1,4,4
cholesterol,1,4,5
cholesterol,1,8,1
cholesterol,1,8,2
cholesterol,1,8,3
cholesterol,1,8,4
cholesterol,1,8,5
cholesterol,1,16,1
cholesterol,1,16,2
cholesterol,1,16,3
cholesterol,1,16,4
cholesterol,1,16,5
cholesterol,1,32,1
cholesterol,1,32,2
cholesterol,1,32,3
cholesterol,1,32,4
cholesterol,1,32,5
cholesterol,1,64,1
cholesterol,1,64,2
cholesterol,1,64,3
cholesterol,1,64,4
cholesterol,1,64,5
cholesterol,2,1,1
cholesterol,2,1,2
cholesterol,2,1,3
cholesterol,2,1,4
cholesterol,2,1,5
cholesterol,2,2,1
cholesterol,2,2,2
cholesterol,2,2,3
cholesterol,2,2,4
cholesterol,2,2,5
cholesterol,2,4,1
cholesterol,2,4,2
cholesterol,2,4,3
cholesterol,2,4,4
cholesterol,2,4,5
cholesterol,2,8,1
cholesterol,2,8,2
cholesterol,2,8,3
cholesterol,2,8,4
cholesterol,2,8,5
cholesterol,2,16,1
cholesterol,2,16,2
cholesterol,2,16,3
cholesterol,2,16,4
cholesterol,2,16,5
cholesterol,2,32,1
cholesterol,2,32,2
cholesterol,2,32,3
cholesterol,2,32,4
cholesterol,2,32,5
cholesterol,2,64,1
cholesterol,2,64,2
cholesterol,2,64,3
cholesterol,2,64,4
cholesterol,2,64,5
pwlinear,1,1,1
pwlinear,1,1,2
pwlinear,1,1,3
pwlinear,1,1,4
pwlinear,1,1,5
pwlinear,1,2,1
pwlinear,1,2,2
pwlinear,1,2,3
pwlinear,1,2,4
pwlinear,1,2,5
pwlinear,1,4,1
pwlinear,1,4,2
pwlinear,1,4,3
pwlinear,1,4,4
pwlinear,1,4,5
pwlinear,1,8,1
pwlinear,1,8,2
pwlinear,1,8,3
pwlinear,1,8,4
pwlinear,1,8,5
pwlinear,1,16,1
pwlinear,1,16,2
pwlinear,1,16,3
pwlinear,1,16,4
pwlinear,1,16,5
pwlinear,1,32,1
pwlinear,1,32,2
pwlinear,1,32,3
pwlinear,1,32,4
pwlinear,1,32,5
pwlinear,1,64,1
pwlinear,1,64,2
pwlinear,1,64,3
pwlinear,1,64,4
pwlinear,1,64,5
pwlinear,2,1,1
pwlinear,2,1,2
pwlinear,2,1,3
pwlinear,2,1,4
pwlinear,2,1,5
pwlinear,2,2,1
pwlinear,2,2,2
pwlinear,2,2,3
pwlinear,2,2,4
pwlinear,2,2,5
pwlinear,2,4,1
pwlinear,2,4,2
pwlinear,2,4,3
pwlinear,2,4,4
pwlinear,2,4,5
pwlinear,2,8,1
pwlinear,2,8,2
pwlinear,2,8,3
pwlinear,2,8,4
pwlinear,2,8,5
pwlinear,2,16,1
pwlinear,2,16,2
pwlinear,2,16,3
pwlinear,2,16,4
pwlinear,2,16,5
pwlinear,2,32,1
pwlinear,2,32,2
pwlinear,2,32,3
pwlinear,2,32,4
pwlinear,2,32,5
pwlinear,2,64,1
pwlinear,2,64,2
pwlinear,2,64,3
pwlinear,2,64,4
pwlinear,2,64,5
fishcatch,1,1,1
fishcatch,1,1,2
fishcatch,1,1,3
fishcatch,1,1,4
fishcatch,1,1,5
fishcatch,1,2,1
fishcatch,1,2,2
fishcatch,1,2,3
fishcatch,1,2,4
fishcatch,1,2,5
fishcatch,1,4,1
fishcatch,1,4,2
fishcatch,1,4,3
fishcatch,1,4,4
fishcatch,1,4,5
fishcatch,1,8,1
fishcatch,1,8,2
fishcatch,1,8,3
fishcatch,1,8,4
fishcatch,1,8,5
fishcatch,1,16,1
fishcatch,1,16,2
fishcatch,1,16,3
fishcatch,1,16,4
fishcatch,1,16,5
fishcatch,1,32,1
fishcatch,1,32,2
fishcatch,1,32,3
fishcatch,1,32,4
fishcatch,1,32,5
fishcatch,1,64,1
fishcatch,1,64,2
fishcatch,1,64,3
fishcatch,1,64,4
fishcatch,1,64,5
fishcatch,2,1,1
fishcatch,2,1,2
fishcatch,2,1,3
fishcatch,2,1,4
fishcatch,2,1,5
fishcatch,2,2,1
fishcatch,2,2,2
fishcatch,2,2,3
fishcatch,2,2,4
fishcatch,2,2,5
fishcatch,2,4,1
fishcatch,2,4,2
fishcatch,2,4,3
fishcatch,2,4,4
fishcatch,2,4,5
fishcatch,2,8,1
fishcatch,2,8,2
fishcatch,2,8,3
fishcatch,2,8,4
fishcatch,2,8,5
fishcatch,2,16,1
fishcatch,2,16,2
fishcatch,2,16,3
fishcatch,2,16,4
fishcatch,2,16,5
fishcatch,2,32,1
fishcatch,2,32,2
fishcatch,2,32,3
fishcatch,2,32,4
fishcatch,2,32,5
fishcatch,2,64,1
fishcatch,2,64,2
fishcatch,2,64,3
fishcatch,2,64,4
fishcatch,2,64,5
mbagrade,1,1,1
mbagrade,1,1,2
mbagrade,1,1,3
mbagrade,1,1,4
mbagrade,1,1,5
mbagrade,1,2,1
mbagrade,1,2,2
mbagrade,1,2,3
mbagrade,1,2,4
mbagrade,1,2,5
